,0,1,2
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
492,0,0,0
493,0,0,0
494,0,0,0
495,0,0,0
496,0,0,0
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0,0,0
513,0,0,0
514,0,0,0
515,0,0,0
516,0,0,0
517,0,0,0
518,0,0,0
519,0,0,0
520,0,0,0
521,0,0,0
522,0,0,0
523,0,0,0
524,0,0,0
525,0,0,0
526,0,0,0
527,0,0,0
528,0,0,0
529,0,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,0,0
538,0,0,0
539,0,0,0
540,0,0,0
541,0,0,0
542,0,0,0
543,0,0,0
544,0,0,0
545,0,0,0
546,0,0,0
547,0,0,0
548,0,0,0
549,0,0,0
550,0,0,0
551,0,0,0
552,0,0,0
553,0,0,0
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,0,0,0
559,0,0,0
560,0,0,0
561,0,0,0
562,0,0,0
563,0,0,0
564,0,0,0
565,0,0,0
566,0,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,0,0,0
605,0,0,0
606,0,0,0
607,0,0,0
608,0,0,0
609,0,0,0
610,0,0,0
611,0,0,0
612,0,0,0
613,0,0,0
614,0,0,0
615,0,0,0
616,0,0,0
617,0,0,0
618,0,0,0
619,0,0,0
620,0,0,0
621,0,0,0
622,0,0,0
623,0,0,0
624,0,0,0
625,0,0,0
626,0,0,0
627,0,0,0
628,0,0,0
629,0,0,0
630,0,0,0
631,0,0,0
632,0,0,0
633,0,0,0
634,0,0,0
635,0,0,0
636,0,0,0
637,0,0,0
638,0,0,0
639,0,0,0
640,0,0,0
641,0,0,0
642,0,0,0
643,0,0,0
644,0,0,0
645,0,0,0
646,0,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,0,0,0
652,0,0,0
653,0,0,0
654,0,0,0
655,0,0,0
656,0,0,0
657,0,0,0
658,0,0,0
659,0,0,0
660,0,0,0
661,0,0,0
662,0,0,0
663,0,0,0
664,0,0,0
665,0,0,0
666,0,0,0
667,0,0,0
668,0,0,0
669,0,0,0
670,0,0,0
671,0,0,0
672,0,0,0
673,0,0,0
674,0,0,0
675,0,0,0
676,0,0,0
677,0,0,0
678,0,0,0
679,0,0,0
680,0,0,0
681,0,0,0
682,0,0,0
683,0,0,0
684,0,0,0
685,0,0,0
686,0,0,0
687,0,0,0
688,0,0,0
689,0,0,0
690,0,0,0
691,0,0,0
692,0,0,0
693,0,0,0
694,0,0,0
695,0,0,0
696,0,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,0,0,0
701,0,0,0
702,0,0,0
703,0,0,0
704,0,0,0
705,0,0,0
706,0,0,0
707,0,0,0
708,0,0,0
709,0,0,0
710,0,0,0
711,0,0,0
712,0,0,0
713,0,0,0
714,0,0,0
715,0,0,0
716,0,0,0
717,0,0,0
718,0,0,0
719,0,0,0
720,0,0,0
721,0,0,0
722,0,0,0
723,0,0,0
724,0,0,0
725,0,0,0
726,0,0,0
727,0,0,0
728,0,0,0
729,0,0,0
730,0,0,0
731,0,0,0
732,0,0,0
733,0,0,0
734,0,0,0
735,0,0,0
736,0,0,0
737,0,0,0
738,0,0,0
739,0,0,0
740,0,0,0
741,0,0,0
742,0,0,0
743,0,0,0
744,0,0,0
745,0,0,0
746,0,0,0
747,0,0,0
748,0,0,0
749,0,0,0
750,0,0,0
751,0,0,0
752,0,0,0
753,0,0,0
754,0,0,0
755,0,0,0
756,0,0,0
757,0,0,0
758,0,0,0
759,0,0,0
760,0,0,0
761,0,0,0
762,0,0,0
763,0,0,0
764,0,0,0
765,0,0,0
766,0,0,0
767,0,0,0
768,0,0,0
769,0,0,0
770,0,0,0
771,0,0,0
772,0,0,0
773,0,0,0
774,0,0,0
775,0,0,0
776,0,0,0
777,0,0,0
778,0,0,0
779,0,0,0
780,0,0,0
781,0,0,0
782,0,0,0
783,0,0,0
784,0,0,0
785,0,0,0
786,0,0,0
787,0,0,0
788,0,0,0
789,0,0,0
790,0,0,0
791,0,0,0
792,0,0,0
793,0,0,0
794,0,0,0
795,0,0,0
796,0,0,0
797,0,0,0
798,0,0,0
799,0,0,0
800,0,0,0
801,0,0,0
802,0,0,0
803,0,0,0
804,0,0,0
805,0,0,0
806,0,0,0
807,0,0,0
808,0,0,0
809,0,0,0
810,0,0,0
811,0,0,0
812,0,0,0
813,0,0,0
814,0,0,0
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,0,0,0
826,0,0,0
827,0,0,0
828,0,0,0
829,0,0,0
830,0,0,0
831,0,0,0
832,0,0,0
833,0,0,0
834,0,0,0
835,255,255,255
836,251,251,251
837,176,176,176
838,100,100,100
839,0,0,0
840,15,15,15
841,240,240,240
842,0,0,0
843,0,0,0
844,105,105,105
845,0,0,0
846,0,0,0
847,0,0,0
848,8,8,8
849,0,0,0
850,0,0,0
851,13,13,13
852,32,32,32
853,0,0,0
854,0,0,0
855,1,1,1
856,0,0,0
857,0,0,0
858,1,1,1
859,164,164,164
860,0,0,0
861,0,0,0
862,0,0,0
863,32,32,32
864,0,0,0
865,0,0,0
866,52,52,52
867,128,128,128
868,0,0,0
869,0,0,0
870,4,4,4
871,76,76,76
872,65,65,65
873,77,77,77
874,69,69,69
875,51,51,51
876,46,46,46
877,57,57,57
878,57,57,57
879,46,46,46
880,53,53,53
881,85,85,85
882,85,85,85
883,85,85,85
884,85,85,85
885,85,85,85
886,85,85,85
887,85,85,85
888,85,85,85
889,85,85,85
890,85,85,85
891,85,85,85
892,85,85,85
893,85,85,85
894,85,85,85
895,85,85,85
896,85,85,85
897,85,85,85
898,85,85,85
899,85,85,85
900,85,85,85
901,85,85,85
902,85,85,85
903,85,85,85
904,85,85,85
905,85,85,85
906,85,85,85
907,85,85,85
908,85,85,85
909,85,85,85
910,85,85,85
911,85,85,85
912,85,85,85
913,85,85,85
914,85,85,85
915,85,85,85
916,85,85,85
917,85,85,85
918,85,85,85
919,85,85,85
920,85,85,85
921,85,85,85
922,85,85,85
923,85,85,85
924,85,85,85
925,85,85,85
926,85,85,85
927,85,85,85
928,85,85,85
929,85,85,85
930,85,85,85
931,85,85,85
932,85,85,85
933,85,85,85
934,85,85,85
935,85,85,85
936,85,85,85
937,85,85,85
938,85,85,85
939,85,85,85
940,85,85,85
941,85,85,85
942,85,85,85
943,85,85,85
944,85,85,85
945,85,85,85
946,85,85,85
947,85,85,85
948,85,85,85
949,85,85,85
950,76,76,76
951,65,65,65
952,77,77,77
953,69,69,69
954,51,51,51
955,46,46,46
956,57,57,57
957,57,57,57
958,46,46,46
959,53,53,53
960,85,85,85
961,85,85,85
962,85,85,85
963,85,85,85
964,85,85,85
965,85,85,85
966,85,85,85
967,85,85,85
968,85,85,85
969,85,85,85
970,85,85,85
971,85,85,85
972,85,85,85
973,85,85,85
974,85,85,85
975,85,85,85
976,85,85,85
977,85,85,85
978,85,85,85
979,85,85,85
980,85,85,85
981,85,85,85
982,85,85,85
983,85,85,85
984,85,85,85
985,85,85,85
986,85,85,85
987,85,85,85
988,85,85,85
989,85,85,85
990,85,85,85
991,85,85,85
992,85,85,85
993,85,85,85
994,85,85,85
995,85,85,85
996,85,85,85
997,85,85,85
998,85,85,85
999,85,85,85
1000,85,85,85
1001,85,85,85
1002,85,85,85
1003,85,85,85
1004,85,85,85
1005,85,85,85
1006,85,85,85
1007,85,85,85
1008,85,85,85
1009,85,85,85
1010,85,85,85
1011,85,85,85
1012,85,85,85
1013,85,85,85
1014,85,85,85
1015,85,85,85
1016,85,85,85
1017,85,85,85
1018,85,85,85
1019,85,85,85
1020,85,85,85
1021,85,85,85
1022,85,85,85
1023,85,85,85
1024,85,85,85
1025,85,85,85
1026,85,85,85
1027,85,85,85
1028,85,85,85
1029,85,85,85
1030,85,85,85
1031,85,85,85
1032,85,85,85
1033,85,85,85
1034,85,85,85
1035,85,85,85
1036,85,85,85
1037,85,85,85
1038,85,85,85
1039,85,85,85
1040,85,85,85
1041,85,85,85
1042,85,85,85
1043,85,85,85
1044,85,85,85
1045,85,85,85
1046,85,85,85
1047,85,85,85
1048,85,85,85
1049,85,85,85
1050,85,85,85
1051,85,85,85
1052,85,85,85
1053,85,85,85
1054,85,85,85
1055,85,85,85
1056,85,85,85
1057,85,85,85
1058,85,85,85
1059,85,85,85
1060,85,85,85
1061,85,85,85
1062,85,85,85
1063,85,85,85
1064,85,85,85
1065,85,85,85
1066,85,85,85
1067,85,85,85
1068,85,85,85
1069,85,85,85
1070,85,85,85
1071,85,85,85
1072,85,85,85
1073,85,85,85
1074,85,85,85
1075,85,85,85
1076,85,85,85
1077,85,85,85
1078,85,85,85
1079,85,85,85
1080,85,85,85
1081,85,85,85
1082,85,85,85
1083,85,85,85
1084,85,85,85
1085,85,85,85
1086,85,85,85
1087,85,85,85
1088,85,85,85
1089,85,85,85
1090,85,85,85
1091,85,85,85
1092,85,85,85
1093,85,85,85
1094,85,85,85
1095,85,85,85
1096,85,85,85
1097,85,85,85
1098,85,85,85
1099,85,85,85
1100,85,85,85
1101,85,85,85
1102,85,85,85
1103,85,85,85
1104,85,85,85
1105,85,85,85
1106,85,85,85
1107,85,85,85
1108,85,85,85
1109,85,85,85
1110,85,85,85
1111,85,85,85
1112,85,85,85
1113,85,85,85
1114,85,85,85
1115,85,85,85
1116,85,85,85
1117,85,85,85
1118,85,85,85
1119,85,85,85
1120,85,85,85
1121,85,85,85
1122,85,85,85
1123,85,85,85
1124,85,85,85
1125,85,85,85
1126,85,85,85
1127,85,85,85
1128,85,85,85
1129,85,85,85
1130,85,85,85
1131,85,85,85
1132,85,85,85
1133,85,85,85
1134,85,85,85
1135,85,85,85
1136,85,85,85
1137,85,85,85
1138,85,85,85
1139,85,85,85
1140,85,85,85
1141,85,85,85
1142,85,85,85
1143,85,85,85
1144,85,85,85
1145,85,85,85
1146,85,85,85
1147,85,85,85
1148,85,85,85
1149,85,85,85
1150,85,85,85
1151,85,85,85
1152,85,85,85
1153,85,85,85
1154,85,85,85
1155,85,85,85
1156,85,85,85
1157,85,85,85
1158,85,85,85
1159,85,85,85
1160,85,85,85
1161,85,85,85
1162,85,85,85
1163,85,85,85
1164,85,85,85
1165,85,85,85
1166,85,85,85
1167,85,85,85
1168,85,85,85
1169,85,85,85
1170,53,53,53
1171,34,34,34
1172,179,179,179
1173,63,63,63
1174,18,18,18
1175,37,37,37
1176,95,95,95
1177,2,2,2
1178,97,97,97
1179,26,26,26
1180,215,215,215
1181,57,57,57
1182,241,241,241
1183,228,228,228
1184,26,26,26
1185,180,180,180
1186,80,80,80
1187,155,155,155
1188,166,166,166
1189,100,100,100
1190,28,28,28
1191,172,172,172
1192,109,109,109
1193,157,157,157
1194,148,148,148
1195,219,219,219
1196,157,157,157
1197,123,123,123
1198,6,6,6
1199,29,29,29
1200,33,33,33
1201,66,66,66
1202,153,153,153
1203,79,79,79
1204,154,154,154
1205,17,17,17
1206,155,155,155
1207,17,17,17
1208,242,242,242
1209,154,154,154
1210,120,120,120
1211,158,158,158
1212,17,17,17
1213,181,181,181
1214,225,225,225
1215,64,64,64
1216,155,155,155
1217,252,252,252
1218,135,135,135
1219,65,65,65
1220,196,196,196
1221,193,193,193
1222,19,19,19
1223,28,28,28
1224,105,105,105
1225,14,14,14
1226,129,129,129
1227,195,195,195
1228,41,41,41
1229,206,206,206
1230,155,155,155
1231,95,95,95
1232,39,39,39
1233,177,177,177
1234,163,163,163
1235,122,122,122
1236,168,168,168
1237,153,153,153
1238,25,25,25
1239,41,41,41
1240,97,97,97
1241,132,132,132
1242,18,18,18
1243,102,102,102
1244,153,153,153
1245,100,100,100
1246,157,157,157
1247,225,225,225
1248,160,160,160
1249,144,144,144
1250,237,237,237
1251,154,154,154
1252,28,28,28
1253,137,137,137
1254,137,137,137
1255,156,156,156
1256,40,40,40
1257,185,185,185
1258,153,153,153
1259,163,163,163
1260,15,15,15
1261,193,193,193
1262,155,155,155
1263,185,185,185
1264,174,174,174
1265,153,153,153
1266,139,139,139
1267,40,40,40
1268,17,17,17
1269,139,139,139
1270,251,251,251
1271,58,58,58
1272,153,153,153
1273,68,68,68
1274,185,185,185
1275,145,145,145
1276,179,179,179
1277,19,19,19
1278,43,43,43
1279,156,156,156
1280,198,198,198
1281,158,158,158
1282,161,161,161
1283,216,216,216
1284,81,81,81
1285,12,12,12
1286,29,29,29
1287,102,102,102
1288,16,16,16
1289,113,113,113
1290,206,206,206
1291,137,137,137
1292,194,194,194
1293,156,156,156
1294,27,27,27
1295,39,39,39
1296,177,177,177
1297,175,175,175
1298,58,58,58
1299,175,175,175
1300,153,153,153
1301,192,192,192
1302,38,38,38
1303,33,33,33
1304,141,141,141
1305,41,41,41
1306,214,214,214
1307,152,152,152
1308,90,90,90
1309,21,21,21
1310,193,193,193
1311,133,133,133
1312,169,169,169
1313,93,93,93
1314,128,128,128
1315,75,75,75
1316,192,192,192
1317,201,201,201
1318,76,76,76
1319,175,175,175
1320,140,140,140
1321,203,203,203
1322,5,5,5
1323,252,252,252
1324,205,205,205
1325,148,148,148
1326,11,11,11
1327,140,140,140
1328,189,189,189
1329,0,0,0
1330,176,176,176
1331,201,201,201
1332,204,204,204
1333,35,35,35
1334,140,140,140
1335,162,162,162
1336,5,5,5
1337,76,76,76
1338,205,205,205
1339,132,132,132
1340,96,96,96
1341,13,13,13
1342,30,30,30
1343,5,5,5
1344,52,52,52
1345,213,213,213
1346,172,172,172
1347,36,36,36
1348,77,77,77
1349,131,131,131
1350,194,194,194
1351,252,252,252
1352,214,214,214
1353,216,216,216
1354,148,148,148
1355,149,149,149
1356,89,89,89
1357,169,169,169
1358,230,230,230
1359,65,65,65
1360,73,73,73
1361,17,17,17
1362,227,227,227
1363,198,198,198
1364,19,19,19
1365,48,48,48
1366,186,186,186
1367,157,157,157
1368,197,197,197
1369,38,38,38
1370,97,97,97
1371,231,231,231
1372,74,74,74
1373,74,74,74
1374,77,77,77
1375,121,121,121
1376,69,69,69
1377,174,174,174
1378,141,141,141
1379,210,210,210
1380,228,228,228
1381,60,60,60
1382,69,69,69
1383,248,248,248
1384,207,207,207
1385,30,30,30
1386,5,5,5
1387,140,140,140
1388,232,232,232
1389,87,87,87
1390,204,204,204
1391,228,228,228
1392,154,154,154
1393,71,71,71
1394,161,161,161
1395,106,106,106
1396,4,4,4
1397,250,250,250
1398,145,145,145
1399,125,125,125
1400,76,76,76
1401,161,161,161
1402,65,65,65
1403,30,30,30
1404,8,8,8
1405,4,4,4
1406,186,186,186
1407,194,194,194
1408,173,173,173
1409,145,145,145
1410,252,252,252
1411,72,72,72
1412,241,241,241
1413,34,34,34
1414,71,71,71
1415,166,166,166
1416,113,113,113
1417,159,159,159
1418,254,254,254
1419,113,113,113
1420,44,44,44
1421,40,40,40
1422,47,47,47
1423,156,156,156
1424,92,92,92
1425,154,154,154
1426,19,19,19
1427,73,73,73
1428,117,117,117
1429,135,135,135
1430,111,111,111
1431,85,85,85
1432,200,200,200
1433,73,73,73
1434,228,228,228
1435,106,106,106
1436,21,21,21
1437,133,133,133
1438,236,236,236
1439,232,232,232
1440,87,87,87
1441,196,196,196
1442,140,140,140
1443,226,226,226
1444,180,180,180
1445,176,176,176
1446,176,176,176
1447,171,171,171
1448,121,121,121
1449,124,124,124
1450,125,125,125
1451,111,111,111
1452,83,83,83
1453,71,71,71
1454,129,129,129
1455,155,155,155
1456,86,86,86
1457,20,20,20
1458,87,87,87
1459,39,39,39
1460,38,38,38
1461,255,255,255
1462,251,251,251
1463,178,178,178
1464,100,100,100
1465,145,145,145
1466,143,143,143
1467,192,192,192
1468,0,0,0
1469,0,0,0
1470,105,105,105
1471,0,0,0
1472,0,0,0
1473,0,0,0
1474,8,8,8
1475,0,0,0
1476,0,0,0
1477,13,13,13
1478,32,32,32
1479,0,0,0
1480,0,0,0
1481,1,1,1
1482,23,23,23
1483,40,40,40
1484,112,112,112
1485,0,0,0
1486,13,13,13
1487,247,247,247
1488,196,196,196
1489,130,130,130
1490,229,229,229
1491,178,178,178
1492,9,9,9
1493,200,200,200
1494,19,19,19
1495,60,60,60
1496,184,184,184
1497,132,132,132
1498,122,122,122
1499,129,129,129
1500,62,62,62
1501,136,136,136
1502,92,92,92
1503,168,168,168
1504,146,146,146
1505,139,139,139
1506,14,14,14
1507,115,115,115
1508,70,70,70
1509,122,122,122
1510,196,196,196
1511,161,161,161
1512,71,71,71
1513,30,30,30
1514,7,7,7
1515,129,129,129
1516,198,198,198
1517,134,134,134
1518,31,31,31
1519,233,233,233
1520,133,133,133
1521,42,42,42
1522,137,137,137
1523,26,26,26
1524,151,151,151
1525,71,71,71
1526,163,163,163
1527,20,20,20
1528,108,108,108
1529,13,13,13
1530,237,237,237
1531,207,207,207
1532,89,89,89
1533,156,156,156
1534,90,90,90
1535,21,21,21
1536,106,106,106
1537,198,198,198
1538,249,249,249
1539,32,32,32
1540,190,190,190
1541,122,122,122
1542,228,228,228
1543,180,180,180
1544,176,176,176
1545,206,206,206
1546,193,193,193
1547,14,14,14
1548,72,72,72
1549,54,54,54
1550,172,172,172
1551,209,209,209
1552,224,224,224
1553,102,102,102
1554,213,213,213
1555,182,182,182
1556,175,175,175
1557,155,155,155
1558,86,86,86
1559,208,208,208
1560,95,95,95
1561,61,61,61
1562,114,114,114
1563,104,104,104
1564,77,77,77
1565,45,45,45
1566,184,184,184
1567,70,70,70
1568,97,97,97
1569,79,79,79
1570,33,33,33
1571,37,37,37
1572,232,232,232
1573,180,180,180
1574,34,34,34
1575,7,7,7
1576,90,90,90
1577,119,119,119
1578,42,42,42
1579,202,202,202
1580,220,220,220
1581,55,55,55
1582,120,120,120
1583,0,0,0
1584,128,128,128
1585,84,84,84
1586,37,37,37
1587,55,55,55
1588,17,17,17
1589,189,189,189
1590,90,90,90
1591,193,193,193
1592,2,2,2
1593,64,64,64
1594,100,100,100
1595,50,50,50
1596,21,21,21
1597,41,41,41
1598,172,172,172
1599,171,171,171
1600,185,185,185
1601,75,75,75
1602,4,4,4
1603,64,64,64
1604,67,67,67
1605,80,80,80
1606,51,51,51
1607,193,193,193
1608,146,146,146
1609,57,57,57
1610,3,3,3
1611,16,16,16
1612,66,66,66
1613,2,2,2
1614,197,197,197
1615,26,26,26
1616,176,176,176
1617,29,29,29
1618,230,230,230
1619,33,33,33
1620,71,71,71
1621,192,192,192
1622,136,136,136
1623,68,68,68
1624,84,84,84
1625,23,23,23
1626,108,108,108
1627,14,14,14
1628,32,32,32
1629,88,88,88
1630,135,135,135
1631,113,113,113
1632,136,136,136
1633,140,140,140
1634,106,106,106
1635,65,65,65
1636,161,161,161
1637,64,64,64
1638,228,228,228
1639,14,14,14
1640,148,148,148
1641,243,243,243
1642,240,240,240
1643,207,207,207
1644,160,160,160
1645,217,217,217
1646,234,234,234
1647,8,8,8
1648,80,80,80
1649,4,4,4
1650,97,97,97
1651,201,201,201
1652,75,75,75
1653,134,134,134
1654,52,52,52
1655,228,228,228
1656,2,2,2
1657,28,28,28
1658,3,3,3
1659,35,35,35
1660,134,134,134
1661,95,95,95
1662,53,53,53
1663,40,40,40
1664,123,123,123
